id,latitude,longitude
50850,28.414090,76.935892
150518,28.402186,76.983632
61849,28.414607,76.995050
52056,28.402298,77.036039
50593,28.410404,77.034111
50249,28.411975,77.031978
50340,28.411975,77.031978
50393,28.411975,77.031978
50470,28.411975,77.031978
50473,28.411975,77.031978
50589,28.411975,77.031978
50674,28.411975,77.031978
50676,28.411975,77.031978
50695,28.411975,77.031978
50874,28.411975,77.031978
50886,28.411975,77.031978
50891,28.411975,77.031978
50957,28.411975,77.031978
50958,28.411975,77.031978
51023,28.411975,77.031978
51041,28.411975,77.031978
51051,28.411975,77.031978
51081,28.411975,77.031978
51082,28.411975,77.031978
51098,28.411975,77.031978
51241,28.411975,77.031978
51263,28.411975,77.031978
51267,28.411975,77.031978
51268,28.411975,77.031978
51286,28.411975,77.031978
51288,28.411975,77.031978
51298,28.411975,77.031978
51301,28.411975,77.031978
51304,28.411975,77.031978
51307,28.411975,77.031978
51372,28.411975,77.031978
51396,28.411975,77.031978
51414,28.411975,77.031978
52244,28.411975,77.031978
52259,28.411975,77.031978
52323,28.411975,77.031978
52334,28.411975,77.031978
52448,28.411975,77.031978
52449,28.411975,77.031978
52451,28.411975,77.031978
52452,28.411975,77.031978
122136,28.412289,77.037595
51858,28.414606,77.033872
52335,28.416480,77.034617
51864,28.416720,77.029039
51371,28.417151,77.024878
51027,28.401170,77.045164
50425,28.401660,77.044487
51083,28.401808,77.040771
51394,28.404282,77.042883
51408,28.404282,77.042883
30007,28.405133,77.047007
30410,28.406472,77.044663
30045,28.410937,77.043245
30533,28.410937,77.043245
53888,28.411214,77.042145
51272,28.411803,77.041932
51513,28.411803,77.041932
30005,28.412025,77.048722
30406,28.416611,77.040621
30053,28.417455,77.055367
51374,28.417572,77.052848
45518,28.417712,77.056556
29287,28.418052,77.052312
29666,28.418052,77.052312
30043,28.418052,77.052312
30411,28.411466,77.071967
29282,28.415230,77.065151
30055,28.416208,77.062422
13371,28.417616,77.060764
13380,28.417616,77.060764
120840,28.400153,77.275122
120842,28.400153,77.275122
120845,28.400153,77.275122
120667,28.403228,77.277251
120668,28.403228,77.277251
120669,28.403228,77.277251
120670,28.403228,77.277251
120671,28.403228,77.277251
121056,28.403228,77.277251
121661,28.403228,77.277251
121662,28.403228,77.277251
121962,28.403228,77.277251
121963,28.403228,77.277251
120579,28.404459,77.265503
120785,28.408731,77.279192
120786,28.408731,77.279192
120787,28.408731,77.279192
51584,28.410256,77.277151
121868,28.412139,77.279202
121189,28.415000,77.276000
121870,28.415000,77.276000
122015,28.415000,77.276000
121763,28.401457,77.286181
122154,28.401457,77.286181
120033,28.401464,77.290391
120071,28.401909,77.293071
119476,28.402026,77.293402
120191,28.402026,77.293402
120195,28.402026,77.293402
120442,28.402026,77.293402
121196,28.402026,77.293402
122079,28.402026,77.293402
122128,28.402026,77.293402
122191,28.402026,77.293402
121292,28.402148,77.298373
122024,28.402148,77.298373
120666,28.402179,77.289762
121736,28.402179,77.289762
121735,28.402323,77.293391
121885,28.402323,77.293391
122030,28.402521,77.289432
122025,28.402602,77.287648
122026,28.402602,77.287648
122135,28.403231,77.283513
122124,28.403292,77.299867
117413,28.403512,77.289361
117414,28.403512,77.289361
117415,28.403512,77.289361
117427,28.403512,77.289361
119451,28.403512,77.289361
119609,28.403512,77.289361
119628,28.403512,77.289361
119668,28.403512,77.289361
119669,28.403512,77.289361
119673,28.403512,77.289361
119675,28.403512,77.289361
119812,28.403512,77.289361
120070,28.403512,77.289361
120073,28.403512,77.289361
120190,28.403512,77.289361
120192,28.403512,77.289361
120193,28.403512,77.289361
120194,28.403512,77.289361
120208,28.403512,77.289361
120209,28.403512,77.289361
120210,28.403512,77.289361
120212,28.403512,77.289361
120213,28.403512,77.289361
120214,28.403512,77.289361
120215,28.403512,77.289361
120216,28.403512,77.289361
120440,28.403512,77.289361
120444,28.403512,77.289361
120445,28.403512,77.289361
120509,28.403512,77.289361
120562,28.403512,77.289361
120970,28.403512,77.289361
120971,28.403512,77.289361
120975,28.403512,77.289361
121175,28.403512,77.289361
121176,28.403512,77.289361
122013,28.403512,77.289361
122061,28.403512,77.289361
122147,28.403512,77.289361
122193,28.403512,77.289361
122195,28.403512,77.289361
117428,28.403522,77.289362
119672,28.403574,77.283236
120788,28.403574,77.283236
122192,28.403574,77.283236
40922,28.403872,77.297161
121307,28.404259,77.298636
121791,28.404446,77.291743
122034,28.404576,77.289103
119452,28.405247,77.287745
121389,28.405247,77.287745
121390,28.405247,77.287745
121968,28.405247,77.287745
122162,28.405247,77.287745
120211,28.405302,77.287961
122003,28.405302,77.287961
122016,28.405302,77.287961
122151,28.405302,77.287961
122170,28.405442,77.291107
117056,28.405869,77.291515
120718,28.406276,77.295824
120719,28.406276,77.295824
120722,28.406276,77.295824
120723,28.406276,77.295824
120725,28.406276,77.295824
120726,28.406276,77.295824
121060,28.406276,77.295824
121673,28.406276,77.295824
121675,28.406276,77.295824
121676,28.406276,77.295824
121677,28.406276,77.295824
121678,28.406276,77.295824
121679,28.406276,77.295824
121680,28.406276,77.295824
121681,28.406276,77.295824
122009,28.406276,77.295824
122076,28.406276,77.295824
122077,28.406276,77.295824
122140,28.406276,77.295824
121289,28.406386,77.285675
122180,28.406386,77.285675
122161,28.406506,77.292512
122022,28.406622,77.287610
122132,28.406622,77.287610
122134,28.406622,77.287610
122011,28.406792,77.291908
122033,28.407143,77.289692
119424,28.407238,77.290673
119426,28.407238,77.290673
119467,28.407238,77.290673
119468,28.407238,77.290673
119469,28.407238,77.290673
119470,28.407238,77.290673
119471,28.407238,77.290673
119472,28.407238,77.290673
119535,28.407238,77.290673
119539,28.407238,77.290673
119599,28.407238,77.290673
119600,28.407238,77.290673
119601,28.407238,77.290673
119602,28.407238,77.290673
119604,28.407238,77.290673
119605,28.407238,77.290673
119606,28.407238,77.290673
119713,28.407238,77.290673
119714,28.407238,77.290673
119715,28.407238,77.290673
